tau_min,delta_tau_min,n_eff,alpha_step,anchor_chosen,P_accept_best,P_wrong_best,ok_flag,ok
0.6,0.15,3,0.09999999999999999,1,0.45454545454545453,0.06818181818181818,1,да
0.7,0.15,3,0.09999999999999999,1,0.4318181818181818,0.06818181818181818,1,да
0.8,0.15,3,0.09999999999999999,1,0.4090909090909091,0.06818181818181818,1,да
0.6,0.2,3,0.09999999999999999,1,0.3409090909090909,0.022727272727272728,1,да
0.85,0.15,3,0.09999999999999999,1,0.3409090909090909,0.045454545454545456,1,да
0.7,0.2,3,0.09999999999999999,1,0.3181818181818182,0.022727272727272728,1,да
0.8,0.2,3,0.09999999999999999,1,0.29545454545454547,0.022727272727272728,1,да
0.85,0.2,3,0.09999999999999999,1,0.22727272727272727,0.0,1,да
0.6,0.25,3,0.09999999999999999,1,0.18181818181818182,0.022727272727272728,1,да
0.7,0.25,3,0.09999999999999999,1,0.1590909090909091,0.022727272727272728,1,да
0.6,0.3,3,0.09999999999999999,1,0.13636363636363635,0.022727272727272728,0,нет
0.7,0.3,3,0.09999999999999999,1,0.13636363636363635,0.022727272727272728,0,нет
0.8,0.25,3,0.09999999999999999,1,0.13636363636363635,0.022727272727272728,0,нет
0.8,0.3,3,0.09999999999999999,1,0.13636363636363635,0.022727272727272728,0,нет
0.85,0.25,3,0.09999999999999999,1,0.11363636363636363,0.0,0,нет
0.85,0.3,3,0.09999999999999999,1,0.11363636363636363,0.0,0,нет
